mark,model,description,model_id
FORD,Transit Courier,1.0 EcoBoost 100ch Trend,4455
RENAULT,Kadjar,1.2 TCe 130ch energy Zen,4456
DACIA,Jogger,1.0 ECO-G 100ch Confort 7 places,4457
BMW,Serie 2 Active Tourer,230e 326ch xDrive M Sport DKG7,4458
CITROEN,C3,BlueHDi 75 Feel Edition,4459
SEAT,Ibiza,1.0 MPI 80ch Start/Stop Reference Euro6d-T,4460
SKODA,Yeti,2.0 TDI 110 SCR Active Green Tec 4x2,4461
MERCEDES,Cla,180 d 116ch AMG Line 8G-DCT,4462
LEXUS,Nx,350h 2WD Luxe MY24,4463
SKODA,Enyaq Iv,iV 204ch Version 80,4464
RENAULT,Captur,1.0 TCe 100ch Zen GPL - 20,4465
VOLKSWAGEN,T-Cross,1.0 TSI 110ch Lounge,4466
MERCEDES,Cla Shooting Brake,200 d 150ch AMG Line 8G-DCT,4467
CITROEN,C4 X,BlueHDi 130ch S&S Shine Pack EAT8,4468
RENAULT,Clio,1.5 dCi 90ch energy Intens 5p,4469
MERCEDES,Classe S,560 Maybach 4Matic 9G-Tronic,4470
LAND-ROVER,Range Rover,2.0 P400e 404ch Autobiography SWB Mark VII,4471
RENAULT,Trafic,SpaceNomad VAN equilibre blue dCi 150 EDC,4472
RENAULT,Captur,1.3 TCe 140ch FAP Zen EDC -21,4473
LAND-ROVER,Range Rover Velar,3.0D V6 300ch R-Dynamic HSE AWD BVA,4474
BMW,Z4 Roadster,sDrive20i 197ch M Sport,4475
LAND-ROVER,Range Rover Velar,2.0D 240ch R-Dynamic SE AWD BVA,4476
RENAULT,Grand Scenic,1.3 TCe 140ch Limited EDC - 21,4477
RENAULT,Koleos,1.3 TCe 160ch Initiale Paris EDC TOIT PANO OUVRANT GTIE 07/25,4478
CITROEN,C4 Cactus,PureTech 110 Shine Edition S&S,4479
CITROEN,C4,PureTech 130ch S&S Feel EAT8,4480
RENAULT,Trafic Combi,L1 1.6 dCi 95ch Stop&Start Zen 8 places,4481
MERCEDES,Classe A,250 Fascination 4Matic 7G-DCT,4482
VOLKSWAGEN,Golf,2.0 TSI 333ch R 20 ans 4Motion DSG7,4483
MERCEDES,Cla Shooting Brake,180 d 116ch AMG Line 7G-DCT,4484
RENAULT,Kangoo Van,L1 1.5 Blue dCi 95ch Extra - 22,4485
MERCEDES,Glc,220 d 170ch Sportline 4Matic 9G-Tronic Euro6c,4486
RENAULT,Arkana,1.6 E-Tech hybride 145ch Evolution -22,4487
SKODA,Scala,1.5 TSI 150ch Ambition,4488
OPEL,Astra,1.2 Turbo 130ch Elegance 7cv,4489
SEAT,Leon,1.6 TDI 115ch FAP Style,4490
VOLVO,V90,T8 Twin Engine 303 + 87ch Inscription Luxe Geartronic,4491
MINI,Cabrio,Cooper 136ch BVA7,4492
TOYOTA,Yaris Cross,116h Trail AWD-i MY22,4493
CITROEN,C3 Aircross,BlueHDi 100ch Shine,4494
PEUGEOT,208,e-208 136ch Roadtrip,4495
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Allure Pack,4496
PEUGEOT,308 Sw,1.5 BlueHDi 130ch S&S Tech Edition EAT8,4497
KIA,Niro,EV 204ch Premium,4498
PEUGEOT,3008,1.2 PureTech 130ch E6.c Active S&S EAT8,4499
CITROEN,C4 Spacetourer,BlueHDi 120ch S&S Feel EAT6,4500
MINI,Mini,Cooper 136ch Chili BVA7,4501
RENAULT,Megane Estate,1.5 Blue dCi 115ch Intens EDC -21N,4502
KIA,Ceed,1.6 CRDI 136ch MHEV GT Line Premium DCT7,4503
MERCEDES,Cla Shooting Brake,200 d Launch Edition 7G-DCT,4504
NISSAN,Leaf,40kWh Acenta + AVM + Roue de Secours,4505
DS,Ds 3 Crossback,PureTech 100ch Performance Line +,4506
VOLKSWAGEN,Golf,1.5 TSI EVO 130ch Carat Euro6d-T 5p,4507
OPEL,Corsa,1.4 90ch Graphite 5p,4508
AUDI,Sq5,3.0 V6 TFSI 354ch quattro Tiptronic 8,4509
PEUGEOT,2008,1.6 BlueHDi 120ch Allure S&S,4510
DACIA,Sandero,0.9 TCe 90ch Confort Easy-R,4511
MERCEDES,Glc Coupe,220 d 197ch AMG Line 4Matic 9G-Tronic,4512
BMW,X3,xDrive20dA 190ch Luxury Euro6d-T,4513
JEEP,Wrangler Unlimited,2.0 T 380ch 4xe Overland Command-Trac MY23,4514
VOLVO,Xc60,T6 AWD 253 + 145ch Black Edition Geartronic,4515
ABARTH,500,1.4 Turbo T-Jet 165ch 595 MY22,4516
CITROEN,C4,1.2 PureTech 130ch S&S SHINE Automatique,4517
FIAT,500x,1.3 FireFly Turbo T4 150ch City Cross DCT,4518
CITROEN,C4 Cactus,PureTech 110ch S&S Shine EAT6,4519
PORSCHE,718 Cayman,2.5 350ch S PDK Euro6,4520
DS,Ds 3 Crossback,PureTech 100ch So Chic,4521
LAND-ROVER,Discovery Sport,2.0 TD4 180ch AWD HSE BVA Mark I,4522
JAGUAR,F-Type Coupe,5.0 V8 450ch First Edition BVA8,4523
TOYOTA,Yaris,HSD 100h Collection 5p,4524
DS,Ds 7 Crossback,BlueHDi 130ch Grand Chic Automatique 139g,4525
BMW,M2 Coupe,3.0i 460ch BVAS8,4526
PEUGEOT,308 Sw,1.2 PureTech 130ch S&S Active Pack,4527
VOLKSWAGEN,Tiguan Allspace,2.0 TDI 150ch R-Line DSG7,4528
FORD,Mustang Mach-E,Extended Range 99kWh 351ch AWD,4529
CITROEN,C5 Aircross,1.6 Hybride rechargeable 180ch SHINE boite automatique,4530
OPEL,Corsa,1.4 75ch Enjoy 3p,4531
FIAT,Doblo Cargo,1.3 Multijet 95ch Pack,4532
AUDI,Sq7,4.0 V8 TDI 435ch clean diesel quattro Tiptronic 7 places,4533
TOYOTA,Corolla,Corolla Cross 2.0 196ch Style Awd MY23,4534
RENAULT,Trafic,L1H1 3T 2.0 Blue dCi 150ch Grand Confort E6E,4535
OPEL,Grandland X,1.5 D 130ch Design Line,4536
PEUGEOT,308,1.2 PureTech 110ch E6.c S&S Allure,4537
SMART,#3,428ch 66kWh Brabus 4x4,4538
RENAULT,Zoe,Zen charge normale R90 MY18,4539
VOLVO,Xc90,T8 Twin Engine 320 + 87ch R-Design Geartronic 7 places,4540
BMW,X1,sDrive18d 150ch xLine First Edition,4541
BMW,X2,sDrive18iA 140ch M Sport DKG7,4542
VOLKSWAGEN,T-Cross,1.0 TSI 110ch R-Line Tech DSG7,4543
FORD,Focus,1.0 Flexifuel mHEV 125ch ST-Line Style,4544
NISSAN,Micra,1.5 dCi 90ch Tekna,4545
RENAULT,Kangoo Van,1.5 Blue dCi 115ch Extra,4546
DACIA,Duster,1.2 TCe 125ch Explorer 4X2,4547
PEUGEOT,108,VTi 72 Active S&S 85g 3p,4548
DS,Ds 4 Crossback,BlueHDi 180 Sport Chic S&S EAT6,4549
BMW,X2,sDrive18iA 140ch M Sport DKG7 Euro6d-T 129g,4550
CUPRA,Leon St,2.0 TDI 150ch V DSG7,4551
AUDI,Q3,35 TDI 150ch Design Luxe S tronic 7,4552
SEAT,Ibiza,1.0 TSI 95ch Copa,4553
RENAULT,Koleos,2.0 Blue dCi 190ch Intens 4x4 X-Tronic,4554
AUDI,Q3 Sportback,35 TDI 150ch Advanced S tronic 7,4555
MERCEDES,Cla,180 d Fascination 7G-DCT,4556
DS,Ds 4,PureTech 180ch Rivoli Automatique,4557
HYUNDAI,Tucson,1.6 CRDI 136ch Creative DCT-7,4558
VOLKSWAGEN,T-Roc,1.5 TSI EVO 150ch Lounge S&S,4559
AUDI,A6,40 TDI 204ch S line quattro S tronic 7,4560
DS,Ds 4,E-TENSE 225ch Trocadero,4561
PEUGEOT,308 Sw,1.5 BlueHDi 130ch S&S Allure,4562
BMW,X4,xDrive20d 190ch xLine 10cv,4563
OPEL,Mokka,1.6 CDTI 136ch Business Connect ecoFLEX Start&Stop 4x2,4564
MINI,Countryman,Cooper SE 125ch + 95ch Business Design ALL4 BVA6,4565
BMW,Serie 4 Gran Coupe,420dA xDrive 190ch M Sport Euro6d-T,4566
DS,Ds 3 Crossback,E-Tense La Première 4cv,4567
PEUGEOT,108,VTi 72 Like S&S 5p,4568
MERCEDES,Classe A,180 136ch AMG Line 7G-DCT,4569
FIAT,Tipo,1.6 110ch Lounge ATX 5p,4570
TOYOTA,Auris Touring Sports,HSD 136h TechnoLine RC18,4571
PEUGEOT,2008,1.2 PureTech 82ch Style BVM5,4572
MERCEDES,Cla,250 e 160+102ch Progressive Line 8G-DCT,4573
SUZUKI,Vitara,1.4 Boosterjet 140ch Style Allgrip Auto,4574
FORD,B-Max,1.0 SCTi 125ch EcoBoost Stop&Start Titanium,4575
JEEP,Compass,1.6 MultiJet II 130ch Limited 4x2,4576
SKODA,Fabia,1.0 MPI Fun 60ch Greentec,4577
RENAULT,Captur,1.3 TCe 140ch FAP Intens,4578
HONDA,Cr-V,1.6 i-DTEC 160ch Innova 4WD AT,4579
BMW,X3,xDrive20dA 190ch M Sport Euro6c,4580
DS,Ds 3 Crossback,PureTech 155ch La Première Automatique,4581
FORD,Kuga,1.5 TDCi 120ch Stop&Start Trend 4x2 Euro6.2,4582
BMW,Serie 2 Gran Coupe,218iA 140ch M Sport DKG7,4583
PORSCHE,911 Coupe,4.0 500ch GT3 RS,4584
SEAT,Ibiza,1.0 EcoTSI 110ch Start/Stop FR,4585
DACIA,Lodgy,1.3 TCe 130ch FAP Silver Line 7 places,4586
MERCEDES,Glc,220 d 194ch Avantgarde Line 4Matic 9G-Tronic,4587
AUDI,A1 Citycarver,35 TFSI 150ch Design Luxe S tronic 7,4588
DS,Ds 7 Crossback,PureTech 180ch Rivoli Automatique,4589
TOYOTA,Yaris,100h Collection 5p RC19,4590
FORD,Ecosport,1.0 EcoBoost 125ch Active 6cv,4591
RENAULT,Captur,1.3 TCe mild hybrid 160 Iconic EDC Bose Gtie 1an,4592
MINI,Mini,John Cooper Works 231ch Ultimate Euro6d-T 13cv,4593
VOLKSWAGEN,Caddy,2.0 TDI 122ch Life DSG7,4594
FIAT,Tipo,1.4 95ch Mirror MY19 4p,4595
PEUGEOT,3008,1.6 BlueHDi 120ch GT Line S&S,4596
RENAULT,Megane,1.3 TCe 140ch Evolution,4597
CITROEN,Jumper,33 L2H2 2.0 BlueHDi 160 Business,4598
RENAULT,Captur,1.5 dCi 110ch Stop&Start energy Wave Euro6 2016,4599
FORD,Focus,1.0 Flexifuel mHEV 125ch Titanium X Business,4600
FORD,Ranger,2.0 EcoBlue 170ch Stop&Start Super Cab XLT 4x4,4601
MERCEDES,Cla Shooting Brake,250 224ch AMG Line 4Matic 7G-DCT,4602
NISSAN,Leaf,150ch 40kWh N-Connecta 22,4603
OPEL,Astra,1.2 Turbo 110ch 6cv,4604
NISSAN,Juke,1.5 dCi 110ch N-Connecta 2018,4605
DS,Ds 3,PureTech 110ch Ines de la Fressange S&S,4606
FORD,Transit 2t,P350 L2 RJ HD 2.0 EcoBlue 170ch Trend,4607
CITROEN,C3,1.5 BlueHDi 100ch S&S Feel Business,4608
LAND-ROVER,Defender,90 3.0 D250 Hard Top SE,4609
PEUGEOT,3008,2.0 BlueHDi 150ch GT Line S&S,4610
RENAULT,Clio,1.5 Blue dCi 115ch Business 6cv,4611
KIA,Rio,1.2 85ch Premium Business 5p,4612
CITROEN,Jumper,33 L3H2 2.2 BlueHDi 140 S&S Driver,4613
KIA,Sportage,1.6 CRDi 136ch MHEV GT Line 4x2,4614
RENAULT,Zoe,Zen charge normale R135 Achat Intégral - 20,4615
CITROEN,C3 Aircross,PureTech 110ch S&S Rip Curl BVM6,4616
OPEL,Meriva,1.4 Turbo Twinport 120ch Innovation Start/Stop,4617
PEUGEOT,2008,1.2 PureTech 130ch S&S Active 7cv,4618
MERCEDES,Classe C Coupe,220 d 170ch Sportline 9G-Tronic,4619
MERCEDES,Classe C,200 d 163ch Avantgarde Line,4620
BMW,Serie 2 Gran Coupe,218d 150ch M Sport,4621
MERCEDES,Gla,35 AMG 306ch 4Matic 8G-DCT Speedshift AMG,4622
VOLKSWAGEN,Golf,1.4 TSI 204ch GTE DSG7 5p,4623
RENAULT,Zoe,E-Tech Equilibre charge normale R110 Achat Intégral - 22B,4624
SEAT,Arona,1.0 EcoTSI 115ch Start/Stop FR DSG Euro6d-T,4625
TOYOTA,Aygo X,1.0 VVT-i 72ch Dynamic S-CVT,4626
PEUGEOT,Partner,M 800kg Electrique 136ch Batterie 50 kWh Cabine Multiflex 3 places Pack Asphalt Connect,4627
BMW,X3,xDrive30dA 265ch Luxury,4628
SEAT,Ibiza,1.0 TSI 110ch Copa,4629
SEAT,Tarraco,2.0 TDI 150ch Style DSG7 7 places,4630
CITROEN,C3 Aircross,1.2 PureTech 130ch S&S PLUS Automatique,4631
PEUGEOT,Expert,Standard 2.0 BlueHDi 180ch S&S Asphalt EAT8,4632
MINI,Mini,Cooper D 116ch Blackfriars BVA,4633
PEUGEOT,3008,1.2 PureTech 130ch Allure Business S&S EAT8 6cv,4634
DACIA,Spring,Business 2022 - Achat Intégral,4635
RENAULT,Twingo,E-Tech Zen Achat Intégral - 21,4636
DACIA,Duster,1.0 ECO-G 100ch Expression 4x2,4637
AUDI,A4 Avant,2.0 TDI 136ch ultra clean diesel DPF Business line Euro6,4638
BMW,Serie 1,118i 136ch Lounge,4639
PEUGEOT,Expert,Long 2.0 BlueHDi 120ch Premium Pack S&S,4640
TOYOTA,Yaris,120 VVT-i Design 5p MY21,4641
RENAULT,Kadjar,1.3 TCe 140ch FAP Graphite,4642
PEUGEOT,5008,1.2 PureTech 130ch E6.3 Active S&S EAT8 6cv,4643
PEUGEOT,508,2.0 BlueHDi180 FAP Féline EAT6,4644
KIA,Stonic,1.0 T-GDi 100ch ISG Active Business Euro6d-T,4645
MINI,Cabrio,Cooper 136ch Edition Greenwich BVA7,4646
VOLKSWAGEN,Golf,1.0 eTSI OPF 110ch LIFE PLUS DSG7,4647
BMW,X2,sDrive18dA 150ch M Sport,4648
CITROEN,C4,PureTech 155ch S&S Shine Pack EAT8,4649
FIAT,Fullback,2.4 D 180ch Double Cabine Pack Sport Stop&Start MY17,4650
PEUGEOT,2008,1.2 PureTech 130ch S&S Active Business EAT8 7cv,4651
PEUGEOT,308,1.2 PureTech 110ch S&S Allure Pack,4652
FIAT,500x,1.4 MultiAir 16v 140ch Lounge,4653
FORD,Puma,1.0 EcoBoost 125ch mHEV Titanium 7cv,4654
PEUGEOT,308 Sw,1.6 PureTech 225ch E6.c S&S GT EAT8,4655
MINI,Mini,Cooper S 192ch Edition Greenwich BVA7,4656
MINI,Mini,Cooper S 178ch Edition Premium Plus BVA7,4657
TOYOTA,Verso,132 VVT-i Dynamic,4658
RENAULT,Kangoo Express,1.5 dCi 90ch Extra R-Link,4659
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic 2022,4660
FORD,Ranger,3.2 TDCi 200ch Double Cabine Wildtrak BVA6,4661
NISSAN,Qashqai,1.3 Mild Hybrid 158ch N-Style Xtronic,4662
AUDI,Q2,35 TFSI 150ch Advanced,4663
PEUGEOT,5008,1.2 PureTech 130ch Active S&S,4664
KIA,Rio,1.0 T-GDI 100ch Active DCT7,4665
HYUNDAI,Tucson,1.6 T-GDi 150ch Hybrid 48V Creative DCT7,4666
DACIA,Duster,1.3 TCe 130ch FAP Prestige 4x2 E6U,4667
MERCEDES,Vito,114 CDI Mixto Long Pro E6 4x4,4668
PEUGEOT,2008,1.2 PureTech 130ch S&S Active EAT8 7cv,4669
TOYOTA,Proace City,Electric Medium 50 kWh Business,4670
MINI,Countryman,Cooper S 178ch Northwood BVA7,4671
FORD,Puma,1.0 EcoBoost 125ch ST-Line DCT7 6cv,4672
RENAULT,Clio,1.5 Blue dCi 100ch -21N,4673
OPEL,Crossland X,1.2 Turbo 130ch Elegance BVA Euro 6d-T,4674
RENAULT,Zoe,City charge normale R90,4675
VOLVO,Xc40,T4 Recharge 129 + 82ch Start DCT 7,4676
DACIA,Sandero,0.9 TCe 90ch Techroad,4677
RENAULT,Captur,1.6 E-Tech hybride 145ch Engineered,4678
FORD,Transit 2t,PE 350 L2H2 135 kW Batterie 75/68 kWh Trend Business,4679
LEXUS,Es,300h Luxe MY20,4680
MITSUBISHI,Eclipse Cross,2.4 MIVEC PHEV 188ch Business 4WD,4681
PEUGEOT,Boxer,333 L3H2 2.2 BlueHDi S&S 120ch Pro,4682
NISSAN,Leaf,150ch 40kWh N-Connecta 21,4683
AUDI,Q4 E-Tron,35 e-tron 170ch S Line,4684
LEXUS,Ux,250h 2WD Premium Edition MY21,4685
MERCEDES,Classe C,220 d Sportline 9G-Tronic,4686
SMART,Fortwo Coupe,90ch Brabus style BA6,4687
TOYOTA,Aygo,1.0 VVT-i 69ch x-play x-shift 5p,4688
RENAULT,Twingo,Zen - Achat Intégral -21MY,4689
NISSAN,Micra,1.0 IG-T 92ch N-Sport 2021.5,4690
KIA,Xceed,1.0 T-GDI 120ch Design MY22,4691
PEUGEOT,3008,1.2 PureTech 130ch S&S Roadtrip,4692
SKODA,Fabia,1.0 TSI 95ch Ambition,4693
CITROEN,C4 Cactus,1.6 BlueHDi 120 S&S Feel Nav EAT6,4694
TOYOTA,Corolla Touring Sports,184h Design MY21,4695
JAGUAR,E-Pace,2.0D 150ch R-Dynamic SE AWD BVA9,4696
MINI,Countryman,Cooper 136ch Chili,4697
MERCEDES,Sprinter,314 CDI 43 3T5 Propulsion,4698
MINI,Countryman,Cooper S 192ch Exquisite BVAS,4699
RENAULT,Grand Scenic,1.7 Blue dCi 150ch Intens,4700
MG,Zs,1.0 T-GDi 111ch Luxury,4701
OPEL,Combo Cargo,L1H1 650kg 1.5 100ch Pack Clim,4702
TOYOTA,Yaris,70 VVT-i Design Y20 5p MY19,4703
BMW,Serie 4 Cabriolet,430iA 258ch,4704
CITROEN,C3 Aircross,BlueHDi 110ch S&S Shine Pack,4705
SEAT,Ibiza,1.0 MPI 80ch Business,4706
OPEL,Crossland X,1.2 83ch Edition,4707
CITROEN,C5 Aircross,BlueHDi 130ch S&S Business E6.d-TEMP,4708
MERCEDES,Vito,114 CDI Mixto Extra-Long Pro Propulsion 9G-Tronic,4709
MERCEDES,Classe C,180 d 122ch Avantgarde Line 9G-Tronic,4710
BMW,I7,xDrive60 544ch M Sport,4711
VOLKSWAGEN,Tiguan,1.4 eHybrid 245ch Elegance DSG6,4712
AUDI,Q5,35 TDI 163ch S line S tronic 7 Euro6dT Sportback,4713
MINI,Mini,Cooper 136ch BVA,4714
OPEL,Crossland X,1.2 Turbo 130ch Elegance BVA,4715
VOLKSWAGEN,Transporter,2.8T L1H1 2.0 TDI 204ch Business DSG7,4716
BMW,I4,eDrive40 340ch,4717
FIAT,500x,1.3 FireFly Turbo T4 150ch Club DCT + Ethanol,4718
PEUGEOT,Partner,Long 950kg BlueHDi 130ch Start and Stop Premium EAT8,4719
VOLKSWAGEN,Tiguan,1.5 TSI EVO 130ch Confortline Euro6d-T,4720
JAGUAR,E-Pace,P300e PHEV 309ch R-Dynamic S,4721
RENAULT,Clio,1.5 Blue dCi 100ch Intens -21N,4722
MINI,Clubman,Cooper SD 190ch John Cooper Works ALL4 BVAS,4723
AUDI,A1 Sportback,30 TFSI 110ch S line,4724
VOLKSWAGEN,T-Roc,1.0 TSI 115ch Lounge Euro6d-T 113g,4725
RENAULT,Talisman,1.3 TCe 160ch FAP Limited EDC E6D-Full,4726
AUDI,Q2,2.0 TDI 150ch Design luxe quattro S tronic 7,4727
BMW,X2,sDrive20iA 170ch M Sport DKG7,4728
MERCEDES,Classe A,180 136ch Style Line,4729
RENAULT,Talisman,1.6 dCi 130ch energy Intens,4730
NISSAN,Juke,1.6 Hybrid 143ch N-Connecta 2022.5 + Jantes 19'',4731
CITROEN,Berlingo Van,M 650kg BlueHDi 75 S&S Club,4732
PEUGEOT,108,VTi 72 Collection S&S 85g 5p,4733
TOYOTA,Corolla,122h Dynamic Business MY20 + support lombaire 5cv,4734
MERCEDES,Glc,300 de 194+122ch Avantgarde Line 4Matic 9G-Tronic,4735
MASERATI,Quattroporte,4.2 V8 Executive GT BA,4736
RENAULT,Captur,1.3 TCe 140ch FAP RS Line -21B,4737
VOLKSWAGEN,T-Cross,1.0 TSI 115ch Carat DSG7,4738
TOYOTA,C-Hr,122h Dynamic Business 2WD E-CVT RC18,4739
VOLKSWAGEN,Caddy Cargo,2.0 TDI 102ch Business,4740
RENAULT,Scenic,1.6 dCi 130ch energy Limited,4741
MERCEDES,Gla,200 d 150ch AMG Line Edition 1 8G-DCT,4742
LAND-ROVER,Range Rover Evoque,1.5 P300e PHEV 309ch R-Dynamic AWD BVA9,4743
BMW,Serie 1,118dA 150ch Luxury,4744
PEUGEOT,2008,1.5 BlueHDi 100ch E6.c Signature S&S BVM5 86g,4745
INFINITI,Q50,S Hybrid 364ch Sport Tech BVA,4746
AUDI,Q5,45 TFSI 245ch Design Luxe quattro S tronic 7,4747
PORSCHE,Cayenne,3.0 340ch Euro6d-T,4748
SKODA,Scala,1.6 TDI 116ch Business DSG7 Euro6d-T EVAP,4749
MERCEDES,Sprinter,319 CDI 37 3T5 Pro Propulsion 9G-Tronic,4750
NISSAN,Leaf,217ch e+ 62kWh N-Connecta 21,4751
MINI,Clubman,Cooper S 192ch Exquisite BVAS,4752
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Xtronic 2WD N-STYLE Roue de secours,4753
AUDI,A5,35 TDI 163ch S Edition S tronic 7,4754
CITROEN,Jumper,35 L3 2.0 BlueHDi 130 Confort,4755
KIA,Pro Ceed,1.5 T-GDI 160ch GT Line DCT7,4756
VOLKSWAGEN,Golf Sportsvan,1.6 TDI 115ch BlueMotion Technology FAP United Euro6d-T,4757
OPEL,Crossland X,1.2 Turbo 130ch Elegance Business,4758
RENAULT,Grand Scenic,1.3 TCe 160ch energy Initiale Paris EDC,4759
BMW,Serie 1,M135iA xDrive 306ch M Performance,4760
TOYOTA,Corolla,122h Dynamic Business MY19,4761
CITROEN,C3 Aircross,1.2 110ch S&S Feel E6.d 6cv,4762
VOLKSWAGEN,Polo,1.0 TSI 95ch United DSG7 Euro6d-T,4763
CITROEN,C3 Aircross,1.2 PureTech 130ch S&S MAX Automatique,4764
AUDI,Q4 Sportback E-Tron,35 e-tron 170ch,4765
RENAULT,Zoe,Business charge normale R90 Achat Intégral MY19,4766
PEUGEOT,5008,1.6 BlueHDi 120ch Style II S&S,4767
DACIA,Duster,1.5 Blue dCi 115ch Journey + 4x2,4768
HYUNDAI,Kona,Electric 136ch Intuitive Euro6d-T EVAP 2cv,4769
VOLKSWAGEN,T-Roc Cabriolet,1.5 TSI Evo2 150ch R-Line DSG7,4770
NISSAN,Qashqai,1.3 Mild Hybrid 140ch Visia,4771
VOLKSWAGEN,T-Cross,1.0 TSI 110ch R-Line DSG7,4772
DACIA,Lodgy,1.5 Blue dCi 115ch Stepway 5 places - 20,4773
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Active DSG7,4774
FIAT,500,1.2 8v 69ch Lounge Dualogic,4775
MERCEDES,Slc,250 d 204ch Sportline 9G-Tronic,4776
KIA,Niro,1.6 GDi 105ch ISG + électrique 43.5ch Motion DCT6,4777
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure 5cv BVM6,4778
OPEL,Mokka,1.2 Turbo 130ch Elegance Business,4779
FORD,Fiesta,1.0 Flexifuel 95ch ST-Line X 5p,4780
CITROEN,C3,1.2 PureTech 83ch S&S Shine Pack,4781
LAND-ROVER,Range Rover Evoque,2.0 TD4 180 HSE BVA Mark III,4782
TOYOTA,Proace Combi,Long 1.5 120 D-4D Dynamic RC22,4783
NISSAN,Leaf,217ch e+ 62kWh Tekna 22,4784
BMW,X2,sDrive18dA 150ch Lounge Euro6d-T,4785
SKODA,Karoq,2.0 TDI 116ch SCR Sportline DSG Euro6ap,4786
RENAULT,Grand Scenic,1.7 Blue dCi 120ch Business EDC 7 places - 21,4787
MINI,Mini,Cooper SE 184ch Business Design BVA,4788
CITROEN,Jumpy,M 2.0 BlueHDi 180ch S&S Cabine Approfondie Fixe EAT8,4789
RENAULT,Kangoo Van,L1 E-Tech EV45 dc 80kw sésame ouvre toi Extra,4790
DACIA,Logan Mcv,1.5 Blue dCi 95ch Essentiel - 20,4791
FORD,Transit 2t,P350 L2 2.0 EcoBlue 170ch Trend,4792
BMW,Serie 2 Active Tourer,218i 136ch M Sport DKG7,4793
FORD,Fiesta,1.0 EcoBoost 155ch mHEV ST-Line X 5p,4794
CITROEN,C5 Aircross,PureTech 180ch S&S Business + EAT8,4795
CITROEN,C3,PureTech 110ch Feel S&S E6.d,4796
SUZUKI,Vitara,1.4 Boosterjet 140ch Style,4797
BMW,Ix3,M sport 286ch Impressive 6cv,4798
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c Allure Business S&S 6cv,4799
OPEL,Mokka,1.5 D 110ch Elegance,4800
PEUGEOT,3008,2.0 BlueHDi 150ch Crossway S&S,4801
RENAULT,Koleos,2.0 dCi 175ch energy Zen X-Tronic,4802
MERCEDES,Classe T,180 d Style BVA7,4803
CITROEN,C1,VTi 68 Feel 3p,4804
RENAULT,Twingo,1.0 SCe 70ch Intens Euro6C,4805
CUPRA,Leon,1.4 e-Hybrid 245ch DSG6,4806
CITROEN,Jumpy,XS 1.5 BlueHDi 100ch S&S Club,4807
MINI,Mini,Cooper 136ch Salt Euro6d-T,4808
DACIA,Duster,1.2 TCe 125ch Silver Line 2017 4X2,4809
DS,Ds 4,PureTech 130ch Opéra Automatique,4810
BMW,Serie 3,320dA xDrive 190ch Lounge Euro6d-T,4811
RENAULT,Megane,1.5 Blue dCi 115ch Intens EDC,4812
SEAT,Arona,1.0 EcoTSI 115ch Start/Stop Xcellence DSG Euro6d-T,4813
TOYOTA,Corolla,122h Dynamic Business MY22,4814
RENAULT,Clio,1.3 TCe 140ch Initiale Paris -21,4815
RENAULT,Kadjar,1.3 TCe 140ch FAP Zen - 21,4816
BMW,Serie 3 Gran Turismo,318dA 150ch Lounge,4817
MINI,Countryman,Cooper SE 125ch + 95ch Chili ALL4 BVA6,4818
NISSAN,Juke,1.0 DIG-T 114ch N-Connecta DCT 2022.5,4819
FORD,Focus Sw,1.0 EcoBoost 125ch Titanium X BVA,4820
SEAT,Ibiza,1.6 TDI 95ch Start/Stop FR Euro6d-T,4821
RENAULT,Captur,1.3 TCe 150ch FAP Initiale Paris,4822
SKODA,Kamiq,1.5 TSI Evo 2 150ch ACT Monte Carlo DSG7,4823
VOLKSWAGEN,T-Cross,1.0 TSI 110ch Life Plus DSG7,4824
AUDI,Q3,35 TDI 150ch Advanced S tronic 7,4825
RENAULT,Kangoo Express,Maxi 1.5 Blue dCi 95ch Grand Volume Grand Confort,4826
RENAULT,Master,F3500 L2H2 2.3 Blue dCi 150ch Grand Confort Euro6,4827
FIAT,Scudo,XL 2.0 BlueHDi 145ch Pack Premium Connect,4828
AUDI,Q2,30 TFSI 116ch Design Euro6d-T,4829
FIAT,Scudo,Long 2.0 MultiJet 180ch Business BVA,4830
MERCEDES,Classe E,300 e 204+129ch AMG Line 4Matic 9G-Tronic,4831
LAND-ROVER,Discovery Sport,P300e R-Dynamic SE AWD BVA Mark VI,4832
JAGUAR,F-Pace,2.0D 180ch R-Sport 4x4 BVA8,4833
VOLKSWAGEN,Id.4,174ch Pro 77 kWh Business,4834
VOLKSWAGEN,Golf,1.4 TSI 204ch GTE DSG6 5p,4835
MINI,Clubman,One D 116ch Canonbury,4836
DS,Ds 7 Crossback,BlueHDi 130ch Drive Efficiency Performance Line 102g,4837
MERCEDES,Classe C,200 d Sportline,4838
FIAT,500l,1.3 Multijet 16v 95ch S&S Popstar,4839
